seed,variant,drop_rate,dpr_pct,sync_pct,delivery_pct,delivered_bytes,energy_kj,tokens_generated,ips_score,llm_fallbacks,injections_generated,injections_rejected,gate_pass_rate,drift_failures
44,A2: No Compression,0.5,100.0,33.05,46.76,11769802,588.49,0,1.0,0,0,0,1.0,0
44,A2: No Compression,0.6,100.0,22.28,37.5,7025350,351.267,0,1.0,0,0,0,1.0,0
44,A2: No Compression,0.7,100.0,13.86,27.83,3726026,186.301,0,1.0,0,0,0,1.0,0
44,A2: No Compression,0.8,100.0,7.81,18.85,1689804,84.49,0,1.0,0,0,0,1.0,0
44,A3: No Relay Routing,0.0,99.56,85.95,96.33,34675279,1734.515,75090,0.9936,2503,0,0,0.9792,52
44,A3: No Relay Routing,0.1,99.64,76.46,88.71,27104326,1355.967,75090,0.9936,2503,0,0,0.9792,52
44,A3: No Relay Routing,0.2,99.56,72.6,84.05,22707856,1136.144,75090,0.9936,2503,0,0,0.9792,52
44,A3: No Relay Routing,0.3,99.56,66.6,78.06,18880335,944.768,75090,0.9936,2503,0,0,0.9792,52
44,A3: No Relay Routing,0.4,99.53,62.65,73.66,16507189,826.11,75090,0.9936,2503,0,0,0.9792,52
44,A3: No Relay Routing,0.5,99.55,57.81,68.96,14308117,716.157,75090,0.9936,2503,0,0,0.9792,52
44,A3: No Relay Routing,0.6,99.61,51.17,62.18,11603157,580.909,75090,0.9936,2503,0,0,0.9792,52
44,A3: No Relay Routing,0.7,99.56,44.92,57.24,9621991,481.85,75090,0.9936,2503,0,0,0.9792,52
44,A3: No Relay Routing,0.8,99.57,36.52,50.88,7284376,364.97,75090,0.9936,2503,0,0,0.9792,52
44,A4: No Verification Gate,0.0,99.54,84.17,95.59,34331492,1717.325,75090,1.0,2503,0,0,1.0,0
44,A4: No Verification Gate,0.1,99.59,80.17,90.55,29567019,1479.102,75090,1.0,2503,0,0,1.0,0
44,A4: No Verification Gate,0.2,99.56,73.65,84.59,23590754,1180.289,75090,1.0,2503,0,0,1.0,0
44,A4: No Verification Gate,0.3,99.54,68.33,78.82,19826793,992.091,75090,1.0,2503,0,0,1.0,0
44,A4: No Verification Gate,0.4,99.58,59.96,72.27,15932600,797.381,75090,1.0,2503,0,0,1.0,0
44,A4: No Verification Gate,0.5,99.55,55.92,67.2,13859537,693.728,75090,1.0,2503,0,0,1.0,0
44,A4: No Verification Gate,0.6,99.52,48.09,60.8,11067889,554.145,75090,1.0,2503,0,0,1.0,0
44,A4: No Verification Gate,0.7,99.51,42.65,55.3,9132974,457.4,75090,1.0,2503,0,0,1.0,0
44,A4: No Verification Gate,0.8,99.58,36.97,50.48,7524935,376.998,75090,1.0,2503,0,0,1.0,0
45,Full Agentic SLM,0.0,99.67,76.92,96.22,32385131,1620.007,75060,0.9937,2502,0,0,0.9748,63
45,Full Agentic SLM,0.1,99.63,73.93,90.79,27766292,1389.065,75060,0.9937,2502,0,0,0.9748,63
45,Full Agentic SLM,0.2,99.67,68.12,84.53,22102754,1105.888,75060,0.9937,2502,0,0,0.9748,63
45,Full Agentic SLM,0.3,99.62,58.45,76.38,16891890,845.345,75060,0.9937,2502,0,0,0.9748,63
45,Full Agentic SLM,0.4,99.68,56.57,72.45,15325058,767.004,75060,0.9937,2502,0,0,0.9748,63
45,Full Agentic SLM,0.5,99.63,51.46,66.95,12836147,642.558,75060,0.9937,2502,0,0,0.9748,63
45,Full Agentic SLM,0.6,99.65,48.25,62.88,11393993,570.45,75060,0.9937,2502,0,0,0.9748,63
45,Full Agentic SLM,0.7,99.59,40.02,56.03,8759476,438.724,75060,0.9937,2502,0,0,0.9748,63
45,Full Agentic SLM,0.8,99.62,34.5,50.06,7012329,351.367,75060,0.9937,2502,0,0,0.9748,63
45,A1: No Link Memory,0.0,99.65,74.36,94.73,30510721,1526.287,75060,0.9937,2502,0,0,0.9748,63
45,A1: No Link Memory,0.1,99.62,73.01,90.15,27227348,1362.118,75060,0.9937,2502,0,0,0.9748,63
45,A1: No Link Memory,0.2,99.67,67.67,84.3,22045682,1103.035,75060,0.9937,2502,0,0,0.9748,63
45,A1: No Link Memory,0.3,99.67,60.52,77.39,17674389,884.47,75060,0.9937,2502,0,0,0.9748,63
45,A1: No Link Memory,0.4,99.64,56.59,72.74,15410272,771.264,75060,0.9937,2502,0,0,0.9748,63
45,A1: No Link Memory,0.5,99.63,52.25,67.55,13236541,662.578,75060,0.9937,2502,0,0,0.9748,63
45,A1: No Link Memory,0.6,99.63,46.06,61.77,10780953,539.798,75060,0.9937,2502,0,0,0.9748,63
45,A1: No Link Memory,0.7,99.63,40.07,55.79,8778947,439.698,75060,0.9937,2502,0,0,0.9748,63
45,A1: No Link Memory,0.8,99.66,34.93,50.83,7119375,356.719,75060,0.9937,2502,0,0,0.9748,63
45,A2: No Compression,0.0,100.0,76.55,95.27,59357842,2967.892,0,1.0,0,0,0,1.0,0
45,A2: No Compression,0.1,100.0,71.35,86.23,47204473,2360.224,0,1.0,0,0,0,1.0,0
45,A2: No Compression,0.2,100.0,59.96,75.79,32709929,1635.496,0,1.0,0,0,0,1.0,0
45,A2: No Compression,0.3,100.0,50.27,65.98,23801695,1190.085,0,1.0,0,0,0,1.0,0
45,A2: No Compression,0.4,100.0,38.78,55.42,16072628,803.631,0,1.0,0,0,0,1.0,0
